"operator_name"	"date"	"aggregate_oil_volume"
"1"	"\"1776 ENERGY OPERATORS, LLC\""	2012-07-01	5538
"2"	"\"1776 ENERGY OPERATORS, LLC\""	2012-11-01	12110
"3"	"\"1776 ENERGY OPERATORS, LLC\""	2012-12-01	18420
"4"	"\"1776 ENERGY OPERATORS, LLC\""	2013-01-01	19431
"5"	"\"1776 ENERGY OPERATORS, LLC\""	2013-02-01	22504
"6"	"\"1776 ENERGY OPERATORS, LLC\""	2013-03-01	28329
"7"	"\"1776 ENERGY OPERATORS, LLC\""	2013-04-01	32471
"8"	"\"1776 ENERGY OPERATORS, LLC\""	2013-05-01	36070
"9"	"\"1776 ENERGY OPERATORS, LLC\""	2013-06-01	40732
"10"	"\"1776 ENERGY OPERATORS, LLC\""	2013-07-01	44665
"11"	"\"1776 ENERGY OPERATORS, LLC\""	2013-08-01	47798
"12"	"\"1776 ENERGY OPERATORS, LLC\""	2013-09-01	50007
"13"	"\"1776 ENERGY OPERATORS, LLC\""	2013-10-01	52821
"14"	"\"1776 ENERGY OPERATORS, LLC\""	2013-11-01	55530
"15"	"\"1776 ENERGY OPERATORS, LLC\""	2013-12-01	58307
"16"	"\"1776 ENERGY OPERATORS, LLC\""	2014-01-01	61246
"17"	"\"1776 ENERGY OPERATORS, LLC\""	2014-02-01	64699
"18"	"\"1776 ENERGY OPERATORS, LLC\""	2014-03-01	67174
"19"	"\"1776 ENERGY OPERATORS, LLC\""	2014-04-01	69816
"20"	"\"1776 ENERGY OPERATORS, LLC\""	2014-05-01	69851
"21"	"\"1776 ENERGY OPERATORS, LLC\""	2014-06-01	72010
"22"	"\"1776 ENERGY OPERATORS, LLC\""	2015-02-01	78354
"23"	"\"1776 ENERGY OPERATORS, LLC\""	2015-03-01	85599
"24"	"\"1776 ENERGY OPERATORS, LLC\""	2015-04-01	92251
"25"	"\"1776 ENERGY OPERATORS, LLC\""	2015-05-01	98620
"26"	"\"1776 ENERGY OPERATORS, LLC\""	2015-06-01	104108
"27"	"\"1776 ENERGY OPERATORS, LLC\""	2015-07-01	109205
"28"	"\"1776 ENERGY OPERATORS, LLC\""	2015-08-01	113320
"29"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2010-06-01	201
"30"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2010-07-01	462
"31"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2010-08-01	623
"32"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2010-09-01	784
"33"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2010-10-01	928
"34"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2010-11-01	1062
"35"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2010-12-01	1179
"36"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-01-01	1288
"37"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-02-01	1371
"38"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-03-01	1469
"39"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-04-01	1554
"40"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-05-01	1637
"41"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-06-01	1712
"42"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-07-01	1779
"43"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-08-01	1848
"44"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-09-01	1908
"45"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-10-01	1971
"46"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-11-01	2029
"47"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2011-12-01	2090
"48"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-01-01	2149
"49"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-02-01	2203
"50"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-03-01	2262
"51"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-04-01	2319
"52"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-05-01	2372
"53"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-06-01	2422
"54"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-07-01	2474
"55"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-08-01	2515
"56"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-09-01	2571
"57"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-10-01	2628
"58"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-11-01	2684
"59"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2012-12-01	2741
"60"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-01-01	2799
"61"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-02-01	2849
"62"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-03-01	2904
"63"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-04-01	2960
"64"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-05-01	3010
"65"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-06-01	3065
"66"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-07-01	3120
"67"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-08-01	3163
"68"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-09-01	3220
"69"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-10-01	3271
"70"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-11-01	3319
"71"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2013-12-01	3373
"72"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-01-01	3429
"73"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-02-01	3484
"74"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-03-01	3542
"75"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-04-01	3622
"76"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-05-01	3702
"77"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-06-01	3763
"78"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-07-01	3841
"79"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-08-01	3915
"80"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-09-01	3957
"81"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-10-01	4027
"82"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-11-01	4087
"83"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2014-12-01	4142
"84"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-01-01	4207
"85"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-02-01	4268
"86"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-03-01	4333
"87"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-04-01	4397
"88"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-05-01	4459
"89"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-06-01	4530
"90"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-07-01	4594
"91"	"\"ACOCK/ANAQUA OPERATING CO., LP\""	2015-08-01	4667
"92"	"\"ACTIVA RESOURCES, LLC\""	2006-07-01	0
"93"	"\"ACTIVA RESOURCES, LLC\""	2006-08-01	0
"94"	"\"ACTIVA RESOURCES, LLC\""	2006-10-01	0
"95"	"\"ACTIVA RESOURCES, LLC\""	2006-11-01	0
"96"	"\"ACTIVA RESOURCES, LLC\""	2006-12-01	0
"97"	"\"ACTIVA RESOURCES, LLC\""	2007-01-01	0
"98"	"\"ACTIVA RESOURCES, LLC\""	2007-02-01	0
"99"	"\"ACTIVA RESOURCES, LLC\""	2007-03-01	0
"100"	"\"ACTIVA RESOURCES, LLC\""	2007-05-01	0
"101"	"\"ALAMO OPERATING COMPANY, L. C.\""	2010-08-01	4268
"102"	"\"ALAMO OPERATING COMPANY, L. C.\""	2010-09-01	6817
"103"	"\"ALAMO OPERATING COMPANY, L. C.\""	2010-10-01	8553
"104"	"\"ALAMO OPERATING COMPANY, L. C.\""	2010-11-01	9998
"105"	"\"ALAMO OPERATING COMPANY, L. C.\""	2010-12-01	11393
"106"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-01-01	12657
"107"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-02-01	13193
"108"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-03-01	14844
"109"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-04-01	15609
"110"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-05-01	16542
"111"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-06-01	17318
"112"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-07-01	18122
"113"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-08-01	18957
"114"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-09-01	19672
"115"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-10-01	20453
"116"	"\"ALAMO OPERATING COMPANY, L. C.\""	2011-11-01	21201
